variant_brand,canonical_brand,pattern,variant_count,canonical_count,confidence,action,notes
milbona lidl,Milbona,reviewed_lidl_uk_ie_private_label,46,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
milbona lidl solo italia,Milbona,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
morning fresh dairy manor,Morning Fresh,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
naturis fentimans tesco,Naturis,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
naturis truly juicy,Naturis,reviewed_lidl_uk_ie_private_label,3,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
nice,Lidl,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
nice lidl,Lidl,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
rachmaninoff lidl,Rachmaninoff,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
roncero lidl,Roncero,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
roncero lidl lidl,Roncero,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
rowan hill,Rowan Hill Bakery,reviewed_lidl_uk_ie_private_label,26,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
rowan hill backery,Rowan Hill Bakery,reviewed_lidl_uk_ie_private_label,6,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
rowan hill lidl,Rowan Hill Bakery,reviewed_lidl_uk_ie_private_label,2,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
simply by lidl,Simply,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
snaktastic lidl,Snaktastic,reviewed_lidl_uk_ie_private_label,14,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
sol and mar,Sol y Mar,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
sol mar lidl,Sol y Mar,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
solevita lidl,Solevita,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
sweet corner banana and shrimps,Sweet Corner,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
sweet corner lidl,Sweet Corner,reviewed_lidl_uk_ie_private_label,13,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
valley spire by lidl,Valley Spire,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
valley spire by lidl lidl,Valley Spire,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
valley spire lidl,Valley Spire,reviewed_lidl_uk_ie_private_label,20,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
vemondo lidl,Vemondo,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
vitasia asia style,Vitasia,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
vitasia crusti croc snaktastic,Vitasia,reviewed_lidl_uk_ie_private_label,1,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
vitasia thai style,Vitasia,reviewed_lidl_uk_ie_private_label,5,,high,confirm,reviewed Lidl UK/IE decision; company_decision=Lidl; source=lidl_private_label_review_uk_ie_20260901
bakers and chefs,Bakers & Chefs,reviewed_walmart_us_canada_private_label,20,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
black forest,The Bakery,reviewed_walmart_us_canada_private_label,2,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
clear american ice,Clear American,reviewed_walmart_us_canada_private_label,9,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
clear american ice clear american,Clear American,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
clear american wal mart stores inc,Clear American,reviewed_walmart_us_canada_private_label,33,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
daily chef food service,Daily Chef,reviewed_walmart_us_canada_private_label,15,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
daily chef wal mart stores inc,Daily Chef,reviewed_walmart_us_canada_private_label,33,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
diet sam s cola,Sam's Cola,reviewed_walmart_us_canada_private_label,2,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
diet sams cola,Sam's Cola,reviewed_walmart_us_canada_private_label,10,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
great value,Great Value Organic,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
great value butter milk waffle,Great Value,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
great value cruchy potato chips,Great Value,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
great value sport,Great Value,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
great value wal mart stores inc,Great Value,reviewed_walmart_us_canada_private_label,110,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
great value walmart,Great Value,reviewed_walmart_us_canada_private_label,16,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
market side walmart,Marketside,reviewed_walmart_us_canada_private_label,2,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
marketside wal mart stores inc,Marketside,reviewed_walmart_us_canada_private_label,15,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
members mark,Member's Mark,reviewed_walmart_us_canada_private_label,880,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
members mark sparkling water,Member's Mark,reviewed_walmart_us_canada_private_label,6,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
organic great value,Great Value Organic,reviewed_walmart_us_canada_private_label,30,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
parents choice,Parent's Choice,reviewed_walmart_us_canada_private_label,20,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
price first wal mart stores inc,Price First,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
sam s choice wal mart stores inc,Sam's Choice,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
sam s club member s mark,Member's Mark,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
sams choice,Sam's Choice,reviewed_walmart_us_canada_private_label,160,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
sams club members mark,Member's Mark,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
sams cola,Sam's Cola,reviewed_walmart_us_canada_private_label,10,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
signature,The Bakery,reviewed_walmart_us_canada_private_label,7,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
signature the bakery,The Bakery,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
simply,Great Value,reviewed_walmart_us_canada_private_label,2,,,manual_review,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
simply great value,Great Value,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
spring valley walmart,Spring Valley,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
the bakery at walmark,The Bakery,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
the bakery bake with pride,The Bakery,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
the bakery baked with pride,The Bakery,reviewed_walmart_us_canada_private_label,293,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
the bakery baked with pride wal mart stores inc,The Bakery,reviewed_walmart_us_canada_private_label,25,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
the bakery wal mart stores inc,The Bakery,reviewed_walmart_us_canada_private_label,70,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
wal mart,Walmart,reviewed_walmart_us_canada_private_label,38,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores,Walmart,reviewed_walmart_us_canada_private_label,78,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
wal mart stores inc,Daily Chef,reviewed_walmart_us_canada_private_label,6,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc,Equate,reviewed_walmart_us_canada_private_label,6,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc,Great Value,reviewed_walmart_us_canada_private_label,44,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc,Great Value Organic,reviewed_walmart_us_canada_private_label,12,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc,Member's Mark,reviewed_walmart_us_canada_private_label,38,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc,Sam's Choice,reviewed_walmart_us_canada_private_label,12,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc,Walmart,reviewed_walmart_us_canada_private_label,820,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
wal mart stores inc great value,Great Value,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
wal mart stores progressive balloons inc,Walmart,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
wal mart stores wal mart stores inc,Walmart,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
walmart,Great Value,reviewed_walmart_us_canada_private_label,38,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
walmart,Great Value Organic,reviewed_walmart_us_canada_private_label,6,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
walmart,Sam's Choice,reviewed_walmart_us_canada_private_label,1,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
walmart,The Bakery,reviewed_walmart_us_canada_private_label,2,,review,manual_review,Non-executable guardrail; exact reviewed evidence required.
walmart bakery,The Bakery,reviewed_walmart_us_canada_private_label,10,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
walmart great value,Great Value,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
walmart inc,Sam's Choice,reviewed_walmart_us_canada_private_label,5,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
walmart wal mart stores inc,Walmart,reviewed_walmart_us_canada_private_label,1,,high,confirm,reviewed Walmart US/Canada decision; company_decision=Walmart; source=walmart_private_label_review_us_canada_20260901
costco,Kirkland Signature,reviewed_costco_us_canada_private_label,24,,high,confirm,reviewed Costco US/Canada decision; company_decision=Costco; source=costco_private_label_review_us_canada_20260901
costco companies inc,Kirkland Signature,reviewed_costco_us_canada_private_label,6,,high,confirm,reviewed Costco US/Canada decision; company_decision=Costco; source=costco_private_label_review_us_canada_20260901
costco costco companies inc kirkland kirkland signature,Kirkland Signature,reviewed_costco_us_canada_private_label,1,,high,confirm,reviewed Costco US/Canada decision; company_decision=Costco; source=costco_private_label_review_us_canada_20260901
costco kirkland,Kirkland Signature,reviewed_costco_us_canada_private_label,1,,high,confirm,reviewed Costco US/Canada decision; company_decision=Costco; source=costco_private_label_review_us_canada_20260901
kirklamd,Kirkland Signature,reviewed_costco_us_canada_private_label,6,,high,confirm,reviewed Costco US/Canada decision; company_decision=Costco; source=costco_private_label_review_us_canada_20260901
